"method","lead_time","t","twcrps","owcrps"
"HEN",8,6,0.452645076229974,0.373082592428822
"HEN",8,7,0.358987819127796,0.290826333366278
"HEN",8,8,0.279875074529343,0.221297781990769
"HEN",8,9,0.214873482159929,0.168109681564737
"HEN",8,10,0.16372612853256,0.122803769932005
"HEN",8,11,0.124649037590138,0.0912092539584576
"HEN",8,12,0.0945513132709692,0.0683265292731358
"HEN",8,13,0.0715539264413879,0.0505359651867765
"HEN",8,14,0.0541214142679331,0.0367895402279278
"HEN",8,15,0.0404429660531808,0.027266860646378
"HEN",8,16,0.030037370436563,0.020522014394558
"HEN",8,17,0.022288871650782,0.0148110435122739
"HEN",8,18,0.0166099414114069,0.0136566461768125
"HEN",8,19,0.0124732243744243,0.0100465136505975
"HEN",8,20,0.00950681901870989,0.00794793546474028
"HEN",9,0,0.854812352527764,0.853357228180174
"HEN",9,1,0.854089143426801,0.854818260356608
"HEN",9,2,0.843398136456985,0.830908780606966
"HEN",9,3,0.79332620228284,0.741451790459432
"HEN",9,4,0.708004085015615,0.632902643468877
"HEN",9,5,0.6045255101591,0.522502489179804
"HEN",9,6,0.499266029579708,0.414963100979266
"HEN",9,7,0.400312005809696,0.325208836021484
"HEN",9,8,0.313635598716325,0.248836323321119
"HEN",9,9,0.240474637572573,0.188806621092548
"HEN",9,10,0.182558918463924,0.136436962044128
"HEN",9,11,0.137464701322263,0.100189865360897
"HEN",9,12,0.102956723659833,0.0741116383244574
"HEN",9,13,0.0766146299989056,0.0544759364599271
"HEN",9,14,0.0573362142547461,0.0397763667756653
"HEN",9,15,0.0426985726817252,0.0291850529670562
"HEN",9,16,0.0316086553740761,0.0220621973213977
"HEN",9,17,0.023607325552617,0.0158249749714168
"HEN",9,18,0.017621250030729,0.0137762627074138
"HEN",9,19,0.0131661984140666,0.0107944905808953
"HEN",9,20,0.00999026065177289,0.00821261991044964
"HEN",10,0,0.862463443170967,0.861291800391555
"HEN",10,1,0.861937049336986,0.862516147692766
"HEN",10,2,0.854856901687961,0.84541897575081
"HEN",10,3,0.819084586390207,0.782237050908257
"HEN",10,4,0.749503891056813,0.681727948386934
"HEN",10,5,0.652685355602782,0.571581688572377
"HEN",10,6,0.544499285906448,0.458766960253506
"HEN",10,7,0.442374728807201,0.36389766533042
"HEN",10,8,0.349720052013431,0.281188321668295
"HEN",10,9,0.269983283207444,0.213373054853123
"HEN",10,10,0.205176386795134,0.154070287295941
"HEN",10,11,0.154071444672844,0.114958179360609
"HEN",10,12,0.113570616526086,0.0829516498728471
"HEN",10,13,0.0826291011473229,0.0581063769628373
"HEN",10,14,0.0602754209981609,0.0419189202871147
"HEN",10,15,0.0442892859883291,0.0298288845607116
"HEN",10,16,0.0324580596594359,0.0214737835478927
"HEN",10,17,0.0237476250533039,0.0154902576073169
"HEN",10,18,0.0173483816135768,0.0139544460149582
"HEN",10,19,0.0128242890591105,0.0103282068008321
"HEN",10,20,0.00970185223281405,0.00787517213452464
"HEN",11,0,0.863229669435016,0.862516626331323
"HEN",11,1,0.862958231173606,0.863048397065737
"HEN",11,2,0.858668825761405,0.852295964130184
"HEN",11,3,0.83240638733393,0.798952151266188
"HEN",11,4,0.775106905713806,0.713145513622285
"HEN",11,5,0.686592848637813,0.607624016734401
"HEN",11,6,0.579916141887646,0.493031956001368
"HEN",11,7,0.47422056979386,0.390766858104512
"HEN",11,8,0.376618327672898,0.302596073184352
"HEN",11,9,0.292227399575758,0.231503046610413
"HEN",11,10,0.222560752555266,0.167458758728642
"HEN",11,11,0.166460970320541,0.124920589074935
"HEN",11,12,0.122683567185937,0.0888340617055482
"HEN",11,13,0.089444260525932,0.0618765753364236
"HEN",11,14,0.0652632559708036,0.0449736320119631
"HEN",11,15,0.0474529195226385,0.0311765253099283
"HEN",11,16,0.0345040621369328,0.022741971949607
"HEN",11,17,0.0248819981884165,0.0164289621373427
"HEN",11,18,0.0180820659683354,0.0146379091237446
"HEN",11,19,0.0132287534338964,0.010226184686202
"HEN",11,20,0.00977833701042517,0.00808949227014921
"HEN",12,0,0.871305862675651,0.87057485333446
"HEN",12,1,0.871058797780353,0.870891181101334
"HEN",12,2,0.867682326558814,0.862541851794545
"HEN",12,3,0.846018849895933,0.820160716987885
"HEN",12,4,0.797297236670031,0.739673213544779
"HEN",12,5,0.715664115369854,0.63762912301509
"HEN",12,6,0.609564569802006,0.519640655247861
"HEN",12,7,0.500710608813445,0.413051840030809
"HEN",12,8,0.400114541787968,0.323330901263715
"HEN",12,9,0.312223654636155,0.249311788177077
"HEN",12,10,0.238600555066225,0.180389746297843
"HEN",12,11,0.178201188893276,0.130882973277085
"HEN",12,12,0.130957642171416,0.0955454229065052
"HEN",12,13,0.0953735606860603,0.0654225264605494
"HEN",12,14,0.0691119152743816,0.0471490275088919
"HEN",12,15,0.0498304426361708,0.0336697554770905
"HEN",12,16,0.0359442276873516,0.0239529474663513
"HEN",12,17,0.0259410411252733,0.0172257115021291
"HEN",12,18,0.0186930001229849,0.0151874346746795
"HEN",12,19,0.0135478783271838,0.0109742131162746
"HEN",12,20,0.00986187657764837,0.00794312245707931
"HEN",13,0,0.890600576963244,0.890065373074292
"HEN",13,1,0.89043091189108,0.890297691254921
"HEN",13,2,0.887524330204358,0.882819262915681
"HEN",13,3,0.867417851672777,0.839379214042542
"HEN",13,4,0.821212852587022,0.764202498543556
"HEN",13,5,0.741922440441822,0.662066516425622
"HEN",13,6,0.636257749058654,0.540383199510488
"HEN",13,7,0.52104790330456,0.433374040590758
"HEN",13,8,0.417533756634679,0.337095849711855
"HEN",13,9,0.326433698835148,0.258294227391085
"HEN",13,10,0.249342868080875,0.185103927903257
"HEN",13,11,0.184988284657858,0.135718879177884
"HEN",13,12,0.135161377568098,0.0955828334370755
"HEN",13,13,0.0974644386999023,0.0667205742509527
"HEN",13,14,0.0704080176588333,0.0480499235308302
"HEN",13,15,0.0507956655384179,0.0338279344416531
"HEN",13,16,0.0365732044335024,0.0243231985419513
"HEN",13,17,0.0263059838198161,0.0170150360479046
"HEN",13,18,0.0192142489599162,0.015439226046845
"HEN",13,19,0.0141769023310166,0.0114983101836367
"HEN",13,20,0.0107466545046752,0.00875236796090806
"HEN",14,0,0.903829512158129,0.903171832053867
"HEN",14,1,0.90362338857501,0.90327808709637
"HEN",14,2,0.899882239036137,0.893472143834749
"HEN",14,3,0.878207163102394,0.851453403110747
"HEN",14,4,0.830622773702101,0.772112388417909
"HEN",14,5,0.750340839606467,0.669379564741886
"HEN",14,6,0.643539897418666,0.547638370965898
"HEN",14,7,0.530941611223666,0.436758049960411
"HEN",14,8,0.425322494418286,0.3401840129951
"HEN",14,9,0.332731101430998,0.262187490514025
"HEN",14,10,0.254931640785835,0.188093329858965
"HEN",14,11,0.18969435020445,0.138272847413581
"HEN",14,12,0.138791085222535,0.0977084400584279
"HEN",14,13,0.100073680768659,0.0673832220586743
"HEN",14,14,0.0721529592893282,0.0483083350132215
"HEN",14,15,0.0520578637458121,0.0345883405366748
"HEN",14,16,0.0375920701070546,0.0249347663831521
"HEN",14,17,0.0271826378035181,0.0178427546153509
"HEN",14,18,0.0200239002462959,0.0161470021503385
"HEN",14,19,0.0148428003592132,0.0115499592107835
"HEN",14,20,0.0112198518951248,0.00871575122013099
"HEN",15,0,0.926906575897845,0.925900583008062
"HEN",15,1,0.926600411113535,0.926802653089578
"HEN",15,2,0.921860630337064,0.913234016161586
"HEN",15,3,0.893980870669034,0.86196000746669
"HEN",15,4,0.835714273990076,0.773423358770781
"HEN",15,5,0.748730644072123,0.66231314640772
"HEN",15,6,0.639237382725824,0.540180515167064
"HEN",15,7,0.526398545890797,0.429366729390892
"HEN",15,8,0.42046688546525,0.334072427546542
"HEN",15,9,0.327854059994464,0.252927341720884
"HEN",15,10,0.249962511908343,0.181244033098808
"HEN",15,11,0.186134630638488,0.132177081492576
"HEN",15,12,0.136749152357999,0.0968555927092686
"HEN",15,13,0.0997078097191455,0.0678694829507304
"HEN",15,14,0.0727293287504804,0.0472768581189828
"HEN",15,15,0.0524594350922834,0.0342255795004728
